,acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,artist,duration,popularity,rd_year,release_date,track_name,chart_random
1247,0.615,0.47100000000000003,155360,0.638,4WRypfUPWm8bO1tvme9blS,0.0,9,0.22399999999999998,-10.475999999999999,1,0.0454,149.873,4,0.846,Marvin Rainwater,155360,0,2006,2006-01-01,Whole Lotta Woman,1
1248,0.865,0.499,160867,0.273,165n9dxHacuguzneup0HXQ,2.11e-06,0,0.319,-14.577,0,0.0544,156.08100000000002,3,0.7170000000000001,Perry Como,160866,47,2010,2010-10-26,Magic Moments (with Mitchell Ayres and His Orchestra & The Ray Charles Singers),1
1249,0.9179999999999999,0.703,135827,0.348,4c7nmRVuhBOfU01tkI5PJq,0.00047699999999999994,9,0.107,-12.912,1,0.0351,138.952,4,0.7909999999999999,michael holliday,135826,7,2015,2015-11-20,The Story of My Life,1
1250,0.41,0.647,146480,0.5820000000000001,4gphxUgq0JSFv2BCLhNDiE,1.93e-06,10,0.0715,-9.538,0,0.0755,167.396,4,0.915,Elvis Presley,146480,73,1958,1958-03-21,Jailhouse Rock,1
1251,0.478,0.46299999999999997,110653,0.747,1h2NZP7rlDgelQ0r1tCOzs,0.0,10,0.23199999999999998,-7.559,1,0.0704,159.661,4,0.861,Jerry Lee Lewis,110653,52,2008,2008-01-01,Great Balls Of Fire - 1963 Stereo Version,1
1252,0.9079999999999999,0.395,181693,0.13,0YTchOzpVRhIo7oWARhNZs,0.00043200000000000004,10,0.102,-15.411,1,0.0377,92.23100000000001,4,0.40399999999999997,Harry Belafonte,181693,14,2014,2014-11-17,Mary’s Boy Child,1
1253,0.614,0.6629999999999999,135813,0.546,3wvZ0ZS3alz4zH2CNhR3AC,0.0,9,0.361,-8.132,1,0.0336,126.49700000000001,4,0.8490000000000001,The Crickets,135558,33,2010,2010-01-01,That'll Be The Day,1
1254,0.341,0.57,138360,0.408,4chlGZQX5uPYpRLp3NezmX,0.0,7,0.5489999999999999,-9.932,1,0.0295,143.249,4,0.96,Paul Anka,138360,53,2000,2000-10-03,Diana,1
1255,0.8290000000000001,0.706,117987,0.6559999999999999,3OeX4IyrnpwkElW5iS8leo,0.0,10,0.139,-6.853,1,0.11900000000000001,74.809,4,0.9470000000000001,Elvis Presley,117986,49,2007,2007-01-01,All Shook Up,1
1256,0.698,0.478,199840,0.922,4lOqlG94QZMGKcQ9HfQuML,3.12e-06,7,0.6940000000000001,-5.787000000000001,1,0.375,135.196,4,0.5760000000000001,Lonnie Donegan,199840,6,2010,2010-01-01,Gamblin' Man,1
1257,0.726,0.505,149333,0.9490000000000001,1ptz7A6ZOwrlLbDFAkEsFu,0.0,9,0.17600000000000002,-3.931,1,0.0616,169.738,4,0.499,Johnnie Ray,149333,2,2015,2015-12-04,"Yes Tonight, Josephine - Single Version",1
1258,0.366,0.7140000000000001,139960,0.622,7kVLaxY76M7squp7GT7pWJ,0.00122,5,0.669,-6.896,1,0.0454,126.484,4,0.858,Andy Williams,139960,0,2014,2014-08-15,Butterfly,1
1259,0.687,0.494,134133,0.8859999999999999,1cBYO5tGZBZZciPcPPbe3Y,0.0,2,0.21100000000000002,-3.4219999999999997,1,0.049,179.30599999999998,4,0.925,Guy Mitchell,134133,0,2016,2016-04-08,Rock-A-Billy,1
1260,0.564,0.6579999999999999,120200,0.7979999999999999,1WDzWYBORWVCOjZsyz84xV,0.0,8,0.249,-9.997,0,0.0365,136.194,4,0.8859999999999999,Lonnie Donegan,120200,5,2012,2012-12-10,Cumberland Gap,1
1261,0.818,0.436,138333,0.35700000000000004,2m05dLtNBR37vcqAJy9E2d,1.39e-06,0,0.10099999999999999,-10.97,1,0.0296,80.459,4,0.45,Tab Hunter,138333,12,2012,2012-01-01,Young Love,1
1262,0.602,0.623,151773,0.573,11OjBqL7xcF2aCxJohoAop,0.0,3,0.221,-8.412,1,0.0635,116.296,3,0.897,Frankie Vaughan,151773,0,2012,2012-01-01,The Garden Of Eden,1
1263,0.326,0.7140000000000001,144893,0.32799999999999996,4rm823KO8QtSAEWvPZwBdI,0.0,1,0.079,-15.687999999999999,1,0.11199999999999999,142.861,4,0.696,Tommy Steele,144893,12,2012,2012-11-19,Singing the Blues,1
1264,0.757,0.642,147613,0.7340000000000001,04tXIXILBf4xVOSYIbPlGC,0.00101,4,0.0667,-3.3480000000000003,1,0.0472,140.126,4,0.889,Guy Mitchell,147612,11,2012,2012-02-28,Singing the Blues,1
1265,0.434,0.6970000000000001,142720,0.557,7FxEiFOep6BU26dooH0O6F,0.0,5,0.174,-6.711,1,0.0656,142.73,4,0.755,Tommy Steele & The Steelmen,142720,10,2008,2008-01-01,Singing The Blues,1
1266,0.87,0.638,157240,0.188,6zahbizoDqcpCbXkDhe4Er,0.0,5,0.0739,-16.788,1,0.0363,97.189,4,0.693,Johnnie Ray,157240,44,1991,1991-09-03,Just Walkin' in the Rain,1
1267,0.311,0.311,140253,0.469,51kNuqPnmllwTygxcMhC7P,2.1600000000000003e-05,9,0.311,-11.044,1,0.0353,111.28200000000001,4,0.679,Frankie Laine,140253,17,2011,2011-06-10,A Woman in Love (with Percy Faith & His Orchestra),1
1268,0.8540000000000001,0.6809999999999999,176520,0.499,1DUSanBrxv9u7QDutmd5G1,0.0,1,0.215,-8.429,1,0.038,110.62100000000001,4,0.862,Anne Shelton,176520,0,2013,2013-01-01,Lay Down Your Arms,1
1269,0.8640000000000001,0.396,124640,0.32,3Dnv944x31XU4FFMlkfnWN,0.0,9,0.599,-13.210999999999999,1,0.0413,175.75,4,0.713,Doris Day,124640,46,1992,1992-09-25,"Whatever Will Be, Will Be (Que Sera, Sera) - Single Version",1
1270,0.617,0.439,138973,0.45799999999999996,6vL5Kx5LmZzcL12DZl2OiY,6.02e-05,1,0.121,-9.906,1,0.0675,174.14700000000002,4,0.866,Frankie Lymon & The Teenagers,138973,53,1999,1999-02-15,Why Do Fools Fall in Love,1
1271,0.73,0.561,180400,0.139,6kDrdnrTIHIyJv7kFeoMIe,0.00575,5,0.127,-20.587,1,0.0292,105.76799999999999,3,0.40399999999999997,Pat Boone,180400,0,1999,1999-01-01,I'll Be Home,1
1272,0.843,0.22,187640,0.254,57gWaXJvGcxNKKpHLSCxKv,9.65e-06,11,0.17600000000000002,-10.282,1,0.0296,173.94099999999997,4,0.166,Ronnie Hilton,187640,12,2010,2010-03-29,No Other Love,1
1273,0.542,0.55,118984,0.675,3VLp7dwKRjxsEnuZvtnv6U,0.846,7,0.35100000000000003,-12.57,1,0.0367,121.70700000000001,4,0.955,Winifred Atwell,118984,0,2008,2008-11-01,The Poor People of Paris,1
1274,0.821,0.5479999999999999,178285,0.479,1BM4CPEcrkIENsOj8Mp9vd,0.0,5,0.35600000000000004,-3.761,1,0.0288,104.29899999999999,3,0.736,Kay Starr,178284,26,2014,2014-02-12,Rock and Roll Waltz - Remastered,1
1275,0.909,0.43,168542,0.073,0tWlbyGpVfzo0v2owxsLKt,0.0,0,0.12,-17.86,0,0.0309,80.594,3,0.27,Dream Weavers,168542,0,2013,2013-02-19,It's Almost Tomorrow,1
1276,0.9179999999999999,0.611,138080,0.179,4h0igWYayzteBtSNpWYQ9h,0.0,4,0.109,-15.977,1,0.0488,133.07299999999998,4,0.556,Dean Martin,138080,54,1964,1964-01-01,Memories Are Made Of This,1
1277,0.7959999999999999,0.693,158307,0.324,3P6OwCX7Ofiaaqtvujb6i5,0.0,11,0.24600000000000002,-15.085,1,0.205,144.14,4,0.382,Tennessee Ernie Ford,158306,56,1997,1997-01-01,Sixteen Tons,1
1278,0.858,0.643,124893,0.138,5WMSaM5QwhcwadtTh16cOE,0.0,0,0.271,-11.97,1,0.0425,87.134,4,0.47700000000000004,Dickie Valentine,124893,4,2014,2014-11-05,Christmas Alphabet,1
1279,0.317,0.6809999999999999,134107,0.69,5PZf7EZr7GfkOAgeEcsqPa,0.00018,7,0.24,-11.519,1,0.18,178.71,4,0.622,Bill Haley & His Comets,134106,51,1991,1991-01-01,(We're Gonna) Rock Around The Clock - Single Version,1
1280,0.253,0.732,153574,0.302,5qiw9P5Q3Su3QnhbAgGuVF,5.85e-06,7,0.29600000000000004,-12.634,1,0.149,117.935,4,0.6729999999999999,Johnston Brothers,153573,20,2014,2014-08-22,Hernando's Hideaway,1
1281,0.359,0.8079999999999999,144533,0.419,1tdxyz5X5ZDR5wWv1EVfHr,0.0,8,0.12,-6.01,1,0.0353,87.012,4,0.722,Jimmy Young,144533,0,2009,2009-12-04,The Man From Laramie,1
1282,0.755,0.40700000000000003,142427,0.33,6jak4Fou65AgcZoLpNDN74,0.00011999999999999999,2,0.29100000000000004,-10.093,1,0.0319,124.49700000000001,4,0.423,Slim Whitman,142426,25,2009,2009-09-11,Rose Marie,1
